sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
LSI||LA SIERRITA|Chiriguaná|Cesar|Aeródromo|9.3867|-73.5089|CARLOS A. CAMARGO C.|FADELCE LTDA|890|10|2000||197|  999,000|||1A|Fumigación||20|20178
LTA||LAS TAPIAS|Tamalameque|Cesar|Aeródromo|8.6781|-73.7694|ACBF Y CIA.|FELIPE D'ACOSTA M.|850|18|3000||131| 6123,000||2018-01-06|1A|Privado|28|20|20787
LTB||LAS GAVIOTAS|La Tebaida|Quindío|Aeródromo|||||||||||||||2|63|63401
LVB||LA VEGA|Zambrano|Bolívar|Aeródromo|9.8552|-74.8918|INVERSIONES AGRORIOS S.A.|INVER. AGRORIOS S.A.|1160|20|7250||656| 5234,000|||2A|Privado|4|13|13894
LVC||LA MESA|La Victoria|Valle del Cauca|Aeródromo|||||||||||||||3|76|76403
LVE||LOS VENADOS|Puerto López|Meta|Aeródromo|||||||||||||||28|50|50573
MAA||MATA DE AGUA|Paz de Ariporo|Casanare|Aeródromo|||||||||||||||4|85|85250
MAG||MANAURE|Manaure|La Guajira|Aeródromo|11.7861|-72.4166|CONCESION DE SALINAS-IFI|CONCESION DE SALINAS-IFI|1332|35|12202||15| 2989,000|||2C|Privado|11|44|44560
MAI||CAMPO ESTERO|Maní|Casanare|Aeródromo|||||||||||||||272|85|85139
MAL||MALABARES|Trinidad|Casanare|Aeródromo|||||||||||||||2|85|85430
MAN||CASANARE|Maní|Casanare|Aeródromo|||||||||||||||6|85|85139
MAP||MAPIRIPAN|Mapiripán|Meta|Aeródromo|2.8973|-72.141|MUNICIPIO|MUNICIPIO|1200|20|12200||670| 5517,000|||2B|Público|5691|50|50325
MBO||MONTERREY|Zambrano|Bolívar|Aeródromo|9.7372|-74.8291|PIZANO S.A.|PIZANO S.A.|1000|15|5000||75| 7145,000|||2A|Privado|50|13|13894
MBQ||BOCOA QUERARI|Mitú|Vaupés|Aeródromo|1.5975|-70.7994|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|440|10|1650||620| 3423,000|||1A|Público|293|97|97001
MCG||MORICHAL|Papunahua|Vaupés|Aeródromo|1.9072|-70.7619|MUNICIPIO|MUNICIPIO|800|30|5500||648| 2989,000|||1B|Público|72|97|97777
MCH||MOCHUELO|Cravo Norte|Arauca|Aeródromo|||||||||||||||1|81|81220
MCJ|MCJ|MAICAO|Maicao|La Guajira|Aeródromo|11.3833|-72.2333|MUNICIPIO|MUNICIPIO|1600|30|12202||160||||3C|Público|26|44|44430
MCL||CAÑO COLORADO|Mitú|Vaupés|Aeródromo|0.365|-70.4433|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|500|15|5000||650| 3423,000|||1A|Público|313|97|97001
MCO||MACOCOBA|Puerto Carreño|Vichada|Aeródromo|||||||||||||||5|99|99001
MCP||CACHIPORRO|Mitú|Vaupés|Aeródromo|0.5542|-71.9264|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|670|10|12202||650| 3423,000|||1A|Público|188|97|97001
